domain,registration,renewal,icann_fee,transfer,average,length,cost_score,domains,share
.shop,4.6,219.82,1.42,219.82,112.21,4,448.84,6269533,0.7774%
.sarl,36.67,36.67,1.42,36.67,36.67,4,146.68,2981,0.0004%
.club,10.47,95.29,1.42,95.29,52.88,4,211.52,4860372,0.6027%
.site,6.93,182.65,1.42,182.65,94.79,4,379.16,3113186,0.3860%
.loan,29.16,36.46,1.42,29.16,32.81,4,131.24,2758408,0.3421%
.free,81.27,219.82,1.42,219.82,150.545,4,602.18,1601,0.0002%
.fast,84.81,164.88,1.42,164.88,124.845,4,499.38,1403,0.0002%
.auto,13189.66,14612.7,1.42,14612.7,13901.18,4,55604.72,1378,0.0002%
.deal,70.65,219.82,1.42,219.82,145.235,4,580.94,1199,0.0001%
.prof,146.12,146.12,1.42,146.12,146.12,4,584.48,1138,0.0001%
.spot,56.49,146.55,1.42,146.55,101.52,4,406.08,872,0.0001%
.live,14.65,183.22,1.42,183.22,98.935,4,395.74,2478908,0.3074%
.buzz,6.23,183.22,1.42,183.22,94.725,4,378.9,2291634,0.2842%
.talk,106.05,219.82,1.42,219.82,162.935,4,651.74,525,0.0001%
.work,10.97,58.62,1.42,58.62,34.795,4,139.18,2240925,0.2779%
.cars,13189.66,14612.7,1.42,14612.7,13901.18,4,55604.72,345,0.0000%
.vana,14655.18,14655.18,1.42,14655.18,14655.18,4,58620.72,54,0.0000%
.trade,29.16,36.46,1.42,29.16,32.81,5,164.05,259718,0.0322%
.promo,73.27,139.26,1.42,139.26,106.265,5,531.325,19440,0.0024%
.pizza,43.96,366.38,1.42,366.38,205.17,5,1025.85,44122,0.0055%
.cymru,70.79,70.79,1.42,70.79,70.79,5,353.95,15528,0.0019%
.place,124.6,124.6,1.42,124.6,124.6,5,623,19985,0.0025%
.dance,65.98,153.91,1.42,153.91,109.945,5,549.725,20176,0.0025%
.works,22.01,219.82,1.42,219.82,120.915,5,604.575,71891,0.0089%
.group,146.55,146.55,1.42,146.55,146.55,5,732.75,295756,0.0367%
.miami,109.95,109.95,1.42,109.95,109.95,5,549.75,43322,0.0054%
.legal,403.05,403.05,1.42,403.05,403.05,5,2015.25,38491,0.0048%
.jetzt,131.89,131.89,1.42,131.89,131.89,5,659.45,22357,0.0028%
.style,73.27,219.82,1.42,219.82,146.545,5,732.725,30492,0.0038%
.solar,366.38,366.38,1.42,366.38,366.38,5,1831.9,21653,0.0027%
.video,36.67,205.17,1.42,205.17,120.92,5,604.6,58995,0.0073%
.boats,7.36,88.64,1.42,88.64,48,5,240,103508,0.0128%
.press,63.64,432.36,1.42,432.36,248,5,1240,28746,0.0036%
.black,109.95,366.38,1.42,366.38,238.165,5,1190.825,18615,0.0023%
.loans,109.95,659.48,1.42,659.48,384.715,5,1923.575,21786,0.0027%
.guide,234.48,234.48,1.42,234.48,234.48,5,1172.4,39984,0.0050%
.green,73.27,454.31,1.42,454.31,263.79,5,1318.95,22038,0.0027%
.email,14.65,175.86,1.42,175.86,95.255,5,476.275,306003,0.0379%
.faith,73.13,73.13,1.42,73.13,73.13,5,365.65,85406,0.0106%
.watch,18.33,249.13,1.42,249.13,133.73,5,668.65,35629,0.0044%
.coach,73.27,439.65,1.42,439.65,256.46,5,1282.3,56779,0.0070%
.forum,7.36,219.19,1.42,219.19,113.275,5,566.375,56327,0.0070%
.autos,7.36,88.64,1.42,88.64,48,5,240,315262,0.0391%
.movie,256.5,1978.45,1.42,1978.45,1117.475,5,5587.375,10727,0.0013%
.shoes,219.82,366.38,1.42,366.38,293.1,5,1465.5,9553,0.0012%
.horse,175.86,175.86,1.42,175.86,175.86,5,879.3,9536,0.0012%
.salon,322.41,322.41,1.42,322.41,322.41,5,1612.05,9456,0.0012%
.build,182.65,182.65,1.42,182.65,182.65,5,913.25,9367,0.0012%
.study,7.36,197.88,1.42,197.88,102.62,5,513.1,9348,0.0012%
.music,271.15,271.15,1.42,271.15,271.15,5,1355.75,9140,0.0011%
.games,36.67,190.51,1.42,190.51,113.59,5,567.95,110701,0.0137%
.actor,73.27,249.13,1.42,249.13,161.2,5,806,8141,0.0010%
.space,6.93,146.12,1.42,146.12,76.525,5,382.625,704985,0.0874%
.irish,36.67,124.6,1.42,124.6,80.635,5,403.175,30372,0.0038%
.glass,410.34,410.34,1.42,410.34,410.34,5,2051.7,7689,0.0010%
